Fecha,Fecha,Extorsion,HomicidioCulp,HomicidioDolo,Lesiones,RoboCasa,RoboNegocio,RoboSinViol,RoboVehi,RoboViol,Secuestro,Poblacion
2011-01-31,2011-01-31,308.0,677.0,847.0,8097.0,7985.0,6091.0,8496.0,18371.0,5774.0,93.0,96135467.61
2011-02-28,2011-02-28,298.0,524.0,760.0,8150.0,7369.0,5722.0,8459.0,17078.0,5684.0,84.0,96135467.61
2011-03-31,2011-03-31,360.0,579.0,887.0,9335.0,8451.0,6137.0,10284.0,18857.0,6410.0,96.0,96135467.61
2011-04-30,2011-04-30,282.0,621.0,925.0,8488.0,7675.0,5682.0,8825.0,16120.0,5628.0,92.0,96135467.61
2011-05-31,2011-05-31,359.0,602.0,1047.0,9451.0,7871.0,5915.0,9373.0,17549.0,6010.0,98.0,96135467.61
2011-06-30,2011-06-30,357.0,568.0,983.0,8477.0,7825.0,5923.0,9604.0,16523.0,5843.0,94.0,96135467.61
2011-07-31,2011-07-31,311.0,570.0,979.0,7821.0,7832.0,5700.0,9934.0,17166.0,5925.0,77.0,96135467.61
2011-08-31,2011-08-31,308.0,642.0,1022.0,8353.0,8594.0,6054.0,9944.0,17186.0,6095.0,100.0,96135467.61
2011-09-30,2011-09-30,336.0,575.0,887.0,8055.0,8387.0,5992.0,9334.0,16603.0,6221.0,93.0,96135467.61
2011-10-31,2011-10-31,340.0,619.0,934.0,8011.0,7913.0,5422.0,9074.0,16110.0,5746.0,97.0,96135467.61
2011-11-30,2011-11-30,347.0,569.0,816.0,7726.0,7595.0,5608.0,8695.0,15823.0,5647.0,59.0,96135467.61
2011-12-31,2011-12-31,335.0,674.0,795.0,7166.0,7125.0,5228.0,8563.0,15912.0,5130.0,90.0,96135467.61
2012-01-31,2012-01-31,409.0,589.0,917.0,7170.0,8072.0,5403.0,9445.0,15703.0,5303.0,89.0,97286353.43
2012-02-29,2012-02-29,440.0,629.0,968.0,7347.0,7531.0,5409.0,9278.0,14744.0,5403.0,87.0,97286353.43
2012-03-31,2012-03-31,459.0,611.0,1019.0,8673.0,7937.0,5522.0,10041.0,15919.0,5704.0,98.0,97286353.43
2012-04-30,2012-04-30,440.0,579.0,1004.0,8289.0,7756.0,5024.0,9119.0,14546.0,4888.0,85.0,97286353.43
2012-05-31,2012-05-31,488.0,640.0,1142.0,8571.0,7827.0,5173.0,9998.0,15021.0,5390.0,104.0,97286353.43
2012-06-30,2012-06-30,518.0,621.0,1032.0,8460.0,7359.0,4805.0,9304.0,13701.0,4821.0,75.0,97286353.43
2012-07-31,2012-07-31,463.0,554.0,1046.0,8252.0,7853.0,5004.0,8987.0,14343.0,5308.0,77.0,97286353.43
2012-08-31,2012-08-31,541.0,599.0,1077.0,7738.0,8198.0,5487.0,9167.0,14478.0,5336.0,91.0,97286353.43
2012-09-30,2012-09-30,484.0,614.0,1108.0,8097.0,7793.0,4972.0,9162.0,14079.0,4920.0,81.0,97286353.43
2012-10-31,2012-10-31,514.0,658.0,944.0,7664.0,8329.0,5283.0,9074.0,14562.0,4968.0,103.0,97286353.43
2012-11-30,2012-11-30,479.0,637.0,939.0,7280.0,7955.0,5374.0,8238.0,13950.0,4826.0,113.0,97286353.43
2012-12-31,2012-12-31,449.0,764.0,908.0,7533.0,7129.0,4731.0,7917.0,13844.0,4731.0,83.0,97286353.43
2013-01-31,2013-01-31,481.0,765.0,908.0,7175.0,8281.0,5395.0,8365.0,14869.0,5081.0,106.0,98411992.73
2013-02-28,2013-02-28,468.0,718.0,839.0,7252.0,6936.0,4954.0,7855.0,13281.0,4644.0,83.0,98411992.73
2013-03-31,2013-03-31,516.0,803.0,943.0,7945.0,7724.0,5229.0,7954.0,13581.0,4717.0,117.0,98411992.73
2013-04-30,2013-04-30,596.0,709.0,964.0,8533.0,8488.0,5381.0,8495.0,13119.0,5160.0,120.0,98411992.73
2013-05-31,2013-05-31,651.0,736.0,967.0,8529.0,8327.0,5249.0,8865.0,13356.0,4531.0,109.0,98411992.73
2013-06-30,2013-06-30,571.0,649.0,907.0,8222.0,7747.0,4921.0,7958.0,12276.0,4723.0,119.0,98411992.73
2013-07-31,2013-07-31,633.0,622.0,863.0,7771.0,8370.0,5546.0,9336.0,12656.0,5545.0,128.0,98411992.73
2013-08-31,2013-08-31,523.0,689.0,818.0,8092.0,8478.0,5579.0,10150.0,13337.0,6292.0,123.0,98411992.73
2013-09-30,2013-09-30,591.0,714.0,831.0,7810.0,7756.0,5461.0,8992.0,12129.0,5073.0,116.0,98411992.73
2013-10-31,2013-10-31,565.0,709.0,835.0,8296.0,8097.0,5724.0,9450.0,12968.0,5330.0,127.0,98411992.73
2013-11-30,2013-11-30,531.0,644.0,779.0,7260.0,7219.0,5338.0,8265.0,12547.0,5008.0,114.0,98411992.73
2013-12-31,2013-12-31,478.0,997.0,830.0,7620.0,7001.0,5251.0,7798.0,12448.0,4611.0,95.0,98411992.73
2014-01-31,2014-01-31,478.0,826.0,777.0,7322.0,7436.0,5281.0,9106.0,13011.0,4607.0,105.0,99518384.07
2014-02-28,2014-02-28,458.0,781.0,712.0,7806.0,6823.0,5248.0,9060.0,11808.0,4303.0,122.0,99518384.07
2014-03-31,2014-03-31,504.0,770.0,820.0,8876.0,7146.0,5273.0,9825.0,12390.0,4681.0,115.0,99518384.07
2014-04-30,2014-04-30,520.0,832.0,779.0,8666.0,7118.0,5083.0,9543.0,11258.0,4549.0,110.0,99518384.07
2014-05-31,2014-05-31,433.0,851.0,811.0,8192.0,6893.0,4910.0,9381.0,11598.0,4655.0,110.0,99518384.07
2014-06-30,2014-06-30,379.0,777.0,691.0,8800.0,6616.0,4713.0,9609.0,10956.0,4436.0,88.0,99518384.07
2014-07-31,2014-07-31,349.0,770.0,667.0,7992.0,7208.0,5398.0,9540.0,11598.0,4299.0,83.0,99518384.07
2014-08-31,2014-08-31,345.0,768.0,721.0,8213.0,7179.0,5339.0,9420.0,11347.0,4743.0,96.0,99518384.07
2014-09-30,2014-09-30,366.0,777.0,702.0,8304.0,7154.0,5330.0,9199.0,11083.0,4653.0,82.0,99518384.07
2014-10-31,2014-10-31,406.0,806.0,741.0,8229.0,7034.0,5575.0,9503.0,11838.0,4699.0,79.0,99518384.07
2014-11-30,2014-11-30,311.0,721.0,699.0,7124.0,6050.0,4661.0,8393.0,10859.0,4151.0,81.0,99518384.07
2014-12-31,2014-12-31,318.0,918.0,712.0,7192.0,6225.0,4767.0,8248.0,10846.0,3977.0,61.0,99518384.07
2015-01-31,2015-01-31,600.0,2065.0,1911.0,18794.0,13520.0,10489.0,21238.0,23062.0,10892.0,155.0,200803344.1
2015-02-28,2015-02-28,809.0,2018.0,1930.0,19669.0,12065.0,9686.0,21148.0,21474.0,10889.0,179.0,200803344.1
2015-03-31,2015-03-31,732.0,2015.0,1999.0,21490.0,12945.0,10195.0,22808.0,23133.0,11762.0,139.0,200803344.1
2015-04-30,2015-04-30,794.0,2078.0,2133.0,22549.0,12888.0,10088.0,20542.0,21051.0,11334.0,141.0,200803344.1
2015-05-31,2015-05-31,740.0,2211.0,2197.0,23040.0,12618.0,9934.0,21968.0,21527.0,11507.0,171.0,200803344.1
2015-06-30,2015-06-30,727.0,1819.0,2196.0,22417.0,13055.0,9638.0,21478.0,22034.0,11565.0,192.0,200803344.1
2015-07-31,2015-07-31,746.0,2017.0,2204.0,21408.0,13424.0,9991.0,21662.0,21686.0,11217.0,138.0,200803344.1
2015-08-31,2015-08-31,633.0,1972.0,2418.0,21162.0,13383.0,10180.0,21145.0,22420.0,11282.0,101.0,200803344.1
