Fecha,Cierre
11/7/2019,42882.02
10/7/2019,42805.61
9/7/2019,42818.66
8/7/2019,43589.08
5/7/2019,43405.32
4/7/2019,43461.48
3/7/2019,43483.23
2/7/2019,43441.8
1/7/2019,43438.24
28/06/2019,43161.17
27/06/2019,43316.56
26/06/2019,43792.08
25/06/2019,43792.17
24/06/2019,43743.72
21/06/2019,43526.73
20/06/2019,43645.11
19/06/2019,43375.67
18/06/2019,43161.05
17/06/2019,42964.71
14/06/2019,43130.65
13/06/2019,43483.2
12/6/2019,43800.16
11/6/2019,43713.66
10/6/2019,43609.17
7/6/2019,43291.33
6/6/2019,43147.83
5/6/2019,43420.38
4/6/2019,43241.82
3/6/2019,43108.42
31/05/2019,42749.16
30/05/2019,43345.82
29/05/2019,42854.75
28/05/2019,42207.71
27/05/2019,42491.43
24/05/2019,42617.6
23/05/2019,42812.57
22/05/2019,42942.23
21/05/2019,43190.1
20/05/2019,43519.22
17/05/2019,43445.62
16/05/2019,43442.49
15/05/2019,43338.82
14/05/2019,43431.53
13/05/2019,43142.46
10/5/2019,43382.35
9/5/2019,43193.36
8/5/2019,43410.74
7/5/2019,43583.6
6/5/2019,44116.7
3/5/2019,44277.24
2/5/2019,44312.43
30/04/2019,44597.32
29/04/2019,44956.73
26/04/2019,44974.97
25/04/2019,45026.68
24/04/2019,45045.33
23/04/2019,45148.32
22/04/2019,45381.22
17/04/2019,45525.29
16/04/2019,45009.36
15/04/2019,44625.78
12/4/2019,44686.06
11/4/2019,44580.06
10/4/2019,44909.14
9/4/2019,45151.63
8/4/2019,45436.28
5/4/2019,44989.86
4/4/2019,43937.39
3/4/2019,43339.75
2/4/2019,43324.59
1/4/2019,43672.06
29/03/2019,43281.28
28/03/2019,42942.23
27/03/2019,42947.55
26/03/2019,42826.16
25/03/2019,42703.38
22/03/2019,42292.16
21/03/2019,43251.19
20/03/2019,43156.21
19/03/2019,42378.61
15/03/2019,42210.46
14/03/2019,41777.81
13/03/2019,41932.56
12/3/2019,41740.62
11/3/2019,41876.17
8/3/2019,41586.7
7/3/2019,41641.84
6/3/2019,41908.15
5/3/2019,42128.91
4/3/2019,42418.49
1/3/2019,42619.23
28/02/2019,42823.81
27/02/2019,43311.18
26/02/2019,43623.33
25/02/2019,43664.33
22/02/2019,43738.66
21/02/2019,43577.64
20/02/2019,43178
19/02/2019,42949.5
18/02/2019,42981.31
15/02/2019,42988.72
14/02/2019,42725.22
13/02/2019,42284.06
12/2/2019,43113.79
11/2/2019,43285.17
8/2/2019,43180.45
7/2/2019,43624.55
6/2/2019,43855.79
5/2/2019,44337.1
1/2/2019,43738.27
31/01/2019,43987.94
30/01/2019,43631.36
29/01/2019,43700.1
28/01/2019,43626.15
25/01/2019,43638.62
24/01/2019,43566.11
23/01/2019,43679.67
22/01/2019,43768.08
21/01/2019,44028.96
18/01/2019,44241.54
17/01/2019,43932.08
16/01/2019,43819.53
15/01/2019,43603.62
14/01/2019,43397.98
11/1/2019,43556.11
10/1/2019,43668.95
9/1/2019,43648.07
8/1/2019,43542.87
7/1/2019,42834.2
4/1/2019,42455.13
3/1/2019,42044.32
2/1/2019,42271.14
31/12/2018,41640.27
28/12/2018,41459.15
27/12/2018,41417.85
26/12/2018,41573.61
24/12/2018,41380.11
21/12/2018,41468.56
20/12/2018,41683.27
19/12/2018,41388.28
18/12/2018,40917.57
17/12/2018,40340.51
14/12/2018,41312.17
13/12/2018,41512.51
11/12/2018,40897.85
10/12/2018,41356.04
7/12/2018,41870.13
6/12/2018,41987
5/12/2018,41895.27
4/12/2018,41865.07
3/12/2018,42081.78
30/11/2018,41732.78
29/11/2018,41913.45
28/11/2018,40989.48
27/11/2018,39807.28
26/11/2018,39427.28
23/11/2018,41144.33
22/11/2018,41271.12
21/11/2018,41499.93
20/11/2018,41797.37
16/11/2018,42319.27
15/11/2018,41450.65
14/11/2018,42343.96
13/11/2018,42421.33
12/11/2018,43310.01
9/11/2018,44263.74
8/11/2018,44190.25
7/11/2018,46917.4
6/11/2018,46328.35
5/11/2018,46817.36
1/11/2018,45446.83
31/10/2018,43942.55
30/10/2018,43538.12
29/10/2018,43879.13
26/10/2018,45803.33
25/10/2018,46275.71
24/10/2018,45959.04
23/10/2018,46449.03
22/10/2018,46962.74
19/10/2018,47437.45
18/10/2018,47024.46
